34196
My Darling Clementine | Linda Darnell | cast_member
Halka (song) | Kent (band) | performer
Son of the Gods | Frank Albertson | cast_member
Thomas Hughes | United Kingdom | country_of_citizenship
Viktor Kostyuchenok | Amur Khabarovsk | member_of_sports_team
Thank You For Loving Me | Say It Isn't So (Bon Jovi song) | follows
Woh Jo Hasina | Film | instance_of
The Geisha Boy | Film | instance_of
Gus Van Sant | Film director | occupation
First Anniversary (The Outer Limits) | Brad Turner (director) | director
Ivan Kasutin | Ak Bars Kazan | member_of_sports_team
Many Rivers to Cross (film) | John F. Seitz | director_of_photography
Four Months Later... | Heroes (TV series) | part_of_the_series
Hector the Mighty | Edmondo Amati | producer
Funniest Show on Earth | Italian language | original_language_of_film_or_TV_show
Target (Embrace song) | World at Your Feet | follows
Kim Yeun-ja | North Korea | country_of_citizenship
Don Cesare di Bazan | Film | instance_of
Houghton Mifflin Harcourt | Harcourt (publisher) | replaces
Joe Henderson | African Americans | ethnic_group
Australian National University | Canberra | located_in_the_administrative_territorial_entity
Peja Stojaković | Toronto Raptors | member_of_sports_team
James Gang Rides Again | Bill Szymczyk | producer
Chris Smith (Florida politician) | Politician | occupation
King Richard and the Crusaders | Max Steiner | composer
China Seas (film) | Lewis Stone | cast_member
Jimmy Nail | United Kingdom | country_of_citizenship
Farewell (Bob Dylan song) | Bob Dylan | performer
The Counselor | London | filming_location
Tokyo | Japan | capital_of
The Elusive Pimpernel | Emeric Pressburger | director
It's All True (film) | Orson Welles | director
Anna Christie (1930 English-language film) | William Axt | composer
Pietro Germi | Genoa | place_of_birth
Prom Queen (Glee) | Glee (TV series) | part_of_the_series
The Caretakers | Film | instance_of
Sixteen Saltines | Love Interruption | follows
Darius Morris | Los Angeles Lakers | drafted_by
Namco | Video game industry | industry
Halloween (2007 film) | Clint Howard | cast_member
Backdraft (film) | Hans Zimmer | composer
Sune Bergström | Karolinska Institutet | employer
Shawn Respert | Milwaukee Bucks | member_of_sports_team
Annie (2014 film) | Columbia Pictures | distributed_by
My Own Peculiar Way | Good Times (Willie Nelson album) | follows
Skylark (1941 film) | Binnie Barnes | cast_member
Eternally (Utada Hikaru song) | EMI Music Japan | record_label
Ram Balram | Prem Chopra | cast_member
Lee Gilmour | United Kingdom | country_of_citizenship
Raef LaFrentz | Dallas Mavericks | member_of_sports_team
Daniel Brühl | Spanish language | languages_spoken,_written_or_signed
Holidays in the Sun (song) | No One Is Innocent (song) | followed_by
Billion Dollar Brain | Ed Begley | cast_member
The Greene Murder Case (film) | E. H. Calvert | cast_member
Cheer Down | My Sweet Lord | followed_by
It's a Joke, Son! | Benjamin Stoloff | director
Larry J. Franco | Film director | occupation
Palletooru | Ramana Reddy | cast_member
Glenn Robinson | Milwaukee Bucks | drafted_by
Mazie Hirono | Politician | occupation
Space Giraffe | Jeff Minter | designed_by
The Treasure of El Patron | Project – A Perfect World | follows
Four Horsemen of the Apocalypse (film) | Film | instance_of
The Purple Rose of Cairo | Edward Herrmann | cast_member
Beau Bandit | Film | instance_of
Clive Brook | United Kingdom | country_of_citizenship
Aubrey (The X-Files) | The X-Files | part_of_the_series
Vivre ou survivre | Amies-ennemies | follows
Joanne Peters | Newcastle, New South Wales | place_of_birth
The Endless River | Pink Floyd | performer
Edward M. Holland | Georgetown University | educated_at
Hoppípolla | EMI | record_label
Tempest (1928 film) | Joseph M. Schenck | producer
Driving Miss Daisy | Dan Aykroyd | cast_member
You Walked In | BNA Records | record_label
Power (KMFDM song) | KMFDM | record_label
A Propósito | Mucho + | follows
Ikue Ōtani | Tokyo | place_of_birth
Necesito de Ti | Vicente Fernández | performer
Aleksei Volkov (ice hockey) | Yekaterinburg | place_of_birth
La stanza del vescovo (film) | Ugo Tognazzi | cast_member
Magical Mystery Tour (film) | Victor Spinetti | cast_member
King David (film) | Bruce Beresford | director
We Takin' Over | Entertainment One Music | record_label
Benny & Joon | Rachel Portman | composer
Reality Check (Seagram album) | Rap-A-Lot Records | record_label
Noel (film) | Penélope Cruz | cast_member
Minority (Green Day song) | Green Day | performer
Young Guns (film) | Terence Stamp | cast_member
Eisaku Satō | Politician | occupation
Onbadhu Roobai Nottu | Nassar | cast_member
Reinhold Rehs | Bonn | work_location
Alice Seeley Harris | United Kingdom | country_of_citizenship
Historias de un Amor | El Privilegio de Amar (album) | follows
Aakrosh (1980 film) | Naseeruddin Shah | cast_member
Young Bride | Max Steiner | composer
True Lies | James Cameron | producer
August: Osage County (film) | Meryl Streep | cast_member
Star Trek Into Darkness | J. J. Abrams | producer
The Dancer Upstairs (film) | José Luis Alcaine | director_of_photography
Only the Brave | Lane Nishikawa | cast_member
Belden Bly | Politician | occupation
The Big Sky (film) | Arthur Hunnicutt | cast_member
Shahid (film) | UTV Motion Pictures | distributed_by
Basil Sydney | London | place_of_death
The Corsican Brothers (1941 film) | Dimitri Tiomkin | composer
Rattlesnake (song) | Radioactive Records | record_label
Betrayed (1917 film) | Raoul Walsh | screenwriter
Images (Ronnie Milsap album) | Ronnie Milsap | performer
This Happy Feeling | Blake Edwards | director
Zock On! | Pharrell Williams | performer
Yasutaka Nakata | Electro house | genre
The Merry Widow (1925 film) | William Axt | composer
Way Down South (album) | Bobbie Gentry and Glen Campbell | followed_by
Pudhiya Mugam | Nassar | cast_member
James Mason | United Kingdom | country_of_citizenship
And Now... Ladies and Gentlemen | Film | instance_of
East of Java | Film | instance_of
Audace colpo dei soliti ignoti | Vittorio Gassman | cast_member
Day-Time Wife | Binnie Barnes | cast_member
A Reason to Live, a Reason to Die | Film | instance_of
The Last Movie | Peter Fonda | cast_member
Kay Whitmore | Hartford Whalers | member_of_sports_team
I Woke Up Early The Day I Died | Billy Zane | cast_member
University of Tübingen | Tübingen | headquarters_location
Brad Dourif | Huntington, West Virginia | place_of_birth
Limpopo River | Botswana | country
Aria (film) | Robert Altman | screenwriter
Pepi, Luci, Bom | Pedro Almodóvar | screenwriter
Medieval II: Total War | Turn-based strategy | genre
Warsaw | Athens | twinned_administrative_body
Ochanomizu University | Tokyo | located_in_the_administrative_territorial_entity
Brother Orchid | Cecil Kellaway | cast_member
Con Air | Nicolas Cage | cast_member
Star in the Dust | Film | instance_of
Sunflower (1970 film) | Marcello Mastroianni | cast_member
The Music Man (1962 film) | Mary Wickes | cast_member
Converting Vegetarians | Infected Mushroom | performer
Hostage (film) | Thriller (genre) | genre
Heat Wave (1990 film) | Thriller (genre) | genre
The Harassed Hero | Maurice Elvey | director
Alan Rickman | London | place_of_death
Kate Capshaw | Model (people) | occupation
Rubén Giustiniani | Politician | occupation
Dharmathin Thalaivan | Film | instance_of
The Age of Innocence (1993 film) | Historical period drama | genre
The Man Who Knew Too Little | Christopher Young | composer
Promised Land (2012 film) | Gus Van Sant | director
Big (film) | Robert Greenhut | producer
Zelig | Woody Allen | screenwriter
Bittersweet Bundle of Misery | Parlophone | record_label
Nikos Oikonomou | Greece national basketball team | member_of_sports_team
Case 39 | Thriller (genre) | genre
Mikhail Zhukov (ice hockey) | Severstal Cherepovets | member_of_sports_team
Anne de Mowbray, 8th Countess of Norfolk | John de Mowbray, 4th Duke of Norfolk | follows
Idrissa Sylla | Guinea | country_of_citizenship
Vladimir Kirpichnikov (general) | Spanish Civil War | conflict
The Blue Fox (1938 film) | Film | instance_of
L'amore difficile | Vittorio Gassman | cast_member
Chuck Versus the Dream Job | Chuck Versus the First Kill | followed_by
Dudley Senanayake | Colombo | place_of_death
Red Museum | The X-Files | part_of_the_series
John Leckie | United Kingdom | country_of_citizenship
Boogie with Stu | Led Zeppelin | performer
Margin for Error | Film | instance_of
Hikari Sentai Maskman | Tokusatsu | genre
Lo chiameremo Andrea | Italian language | original_language_of_film_or_TV_show
The Long Kiss Goodnight | Film | instance_of
Mark Mowers | Nashville Predators | member_of_sports_team
Factory Girl (film) | Film | instance_of
Alexander Seluyanov | Avtomobilist Yekaterinburg | member_of_sports_team
Samuel Fuller | Film director | occupation
DreamWorks Animation | Glendale, California | location_of_formation
Shoot the Moon | Film | instance_of
Robert Chambers (publisher born 1802) | United Kingdom | country_of_citizenship
Bari | Bologna | twinned_administrative_body
Mikhail Panin | Oskemen | place_of_birth
Mamma mia, che impressione! | Film | instance_of
Aksaray | Turkey | country
Masal County | Gilan Province | located_in_the_administrative_territorial_entity
Johann Gabriel Chasteler de Courcelles | Napoleonic Wars | conflict
En Aasai Rasave | Film | instance_of
Ladies Must Live | John Gilbert (actor) | cast_member
Salvatore Termini | Palermo | place_of_birth
A Good Run of Bad Luck | State of Mind (Clint Black song) | follows
Keemat (1973 film) | Dharmendra | cast_member
The War (The New Power Generation song) | Come On (The New Power Generation song) | followed_by
Indian Air Force | New Delhi | headquarters_location
The Goonies | Steven Spielberg | executive_producer
Battle of Neretva (film) | Franco Nero | cast_member
Dragon Quest: Shōnen Yangus to Fushigi no Dungeon | DVD | distribution_format
Matri-Phony | Hugh McCollum | producer
Miss Cast Away and the Island Girls | Film | instance_of
Anjelica Huston | Film director | occupation
White Witch Doctor (film) | Robert Mitchum | cast_member
The Flight of the Phoenix (1965 film) | Joseph F. Biroc | director_of_photography
Love & Mercy (film) | Paul Dano | cast_member
2001 (Dr. Dre album) | Aftermath Entertainment | record_label
Achille-Ferdinand Carrier | Politician | occupation
Kanawha County, West Virginia | Charleston, West Virginia | capital
Big Gay Al's Big Gay Boat Ride | Volcano (South Park) | follows
Cops and Robbers (1951 film) | Steno (director) | director
The Last Temptation of Christ (film) | Thelma Schoonmaker | film_editor
Another You | Film | instance_of
I complessi | Film | instance_of
Masquerade (1988 film) | Kim Cattrall | screenwriter
North West Frontier (film) | Film | instance_of
Jean-Luc Godard | Film director | occupation
Michael Cacoyannis | Limassol | place_of_birth
Saajan | Salman Khan | cast_member
From Dusk till Dawn | Robert Rodriguez | director
A Sound of Thunder (film) | Peter Hyams | director
Raw Deal (1948 film) | John Alton | director_of_photography
I'm a Monkey's Uncle | Film | instance_of
Payback (1999 film) | Bill Duke | cast_member
Mallrats | Claire Forlani | cast_member
Yamla Pagla Deewana | Film | instance_of
Frank Griffin (director) | Norfolk, Virginia | place_of_birth
Dražen Petrović | Real Madrid Baloncesto | member_of_sports_team
Kiyoshi Atsumi | Tokyo | place_of_death
Phaedra (film) | Greek language | original_language_of_film_or_TV_show
James Rosenquist | Art Students League of New York | educated_at
Tomoyo Harada | Japan | country_of_citizenship
Past Mortem | United Kingdom | country_of_origin
Arthur and the Invisibles | The Weinstein Company | distributed_by
Philippe Dupuis | Columbus Blue Jackets | drafted_by
Taipei | Pretoria | twinned_administrative_body
Take Me Out to the Ball Game (film) | Film | instance_of
Nongo Stadium | Guinea national football team | occupant
Rita, Sue and Bob Too | Film | instance_of
Andy Kane (footballer) | United Kingdom | country_of_citizenship
Gangrene (album) | Carriers of Dust | follows
Waking the Dead (film) | Ed Harris | cast_member
New Day (50 Cent song) | Aftermath Entertainment | record_label
Extra Challenge | GMA Network | creator
What's Opera, Doc%3F | Mel Blanc | cast_member
The Ride (The Sopranos) | The Sopranos | part_of_the_series
Prison Farm (film) | Lloyd Nolan | cast_member
Fool's Mate (1956 film) | Jean-Luc Godard | cast_member
Ghetto Musick  ,  Prototype | LaFace Records | record_label
Paarthale Paravasam | K. Balachander | director
Singapore | Asia | continent
Dacii (film) | Sergiu Nicolaescu | director
Madea's Big Happy Family (film) | Bow Wow (rapper) | cast_member
Donald Metcalf | Royal Medal | award_received
Angels & Stars | Stylechanger | followed_by
Nunnally Johnson | Columbus, Georgia | place_of_birth
Gin and Juice | Snoop Dogg | composer
The Mortal Storm | Film | instance_of
Triple 9 | Atlanta | filming_location
The Train (1970 film) | R. D. Burman | composer
My Baby (film) | Mary Pickford | cast_member
John Bowring | Exeter | place_of_death
Communist Party of the Russian Federation | Communism | political_ideology
Aichi Prefecture | Japan | country
Leslie Bricusse | United Kingdom | country_of_citizenship
The Terminal | Steven Spielberg | producer
Into You | Ashanti (singer) | performer
Song of the Islands | David Buttolph | composer
The Goat (1921 film) | Film | instance_of
The Unafraid | Cecil B. DeMille | producer
Reds (film) | Russian language | original_language_of_film_or_TV_show
Words and Pictures (film) | Film | instance_of
Merian C. Cooper | Film director | occupation
The Manchurian Candidate (2004 film) | Rachel Portman | composer
China Seas (film) | Ray June | director_of_photography
From Potter's Field | Charles Scribner's Sons | publisher
Gandhi (film) | Billy Williams (cinematographer) | director_of_photography
King Richard and the Crusaders | George Sanders | cast_member
Venice, the Moon and You | Dino Risi | screenwriter
Chumbawamba | EMI | record_label
The Paleface (1948 film) | Ray Rennahan | director_of_photography
Where Are You Going on Holiday%3F | Alberto Sordi | director
Tender Mercies | Ellen Barkin | cast_member
That's Dancing! | Henry Mancini | composer
Nether Lands | Captured Angel | follows
Midnight Crossing | Ned Beatty | cast_member
Zeenat Aman | Mumbai | place_of_birth
Safe in Hell | Sidney Hickox | director_of_photography
Ghetto Gospel | Elton John | performer
Fatal Attraction | Psychological thriller | genre
Gridiron Gang | Dwayne Johnson | cast_member
Alias Jesse James | Roy Rogers | cast_member
F.I.S.T. | Gene Corman | producer
Twilight (1998 film) | Clint Howard | cast_member
Broken Frames | Entertainment One Music | record_label
Russian Navy | Russia | country
Medill School of Journalism | Illinois | located_in_the_administrative_territorial_entity
Glendale, California | Los Angeles County, California | located_in_the_administrative_territorial_entity
Jaishankar | Chennai | place_of_birth
Strangers on a Train (film) | Dimitri Tiomkin | composer
The Cotton Club (film) | Giancarlo Esposito | cast_member
Belle of the Nineties | Film | instance_of
Marni Hodgkin | New York | place_of_birth
Avanthan Manithan | Sivaji Ganesan | cast_member
Ride, Vaquero! | Film | instance_of
Saw 3D | Cary Elwes | cast_member
North Carolina State University | Oak Ridge Associated Universities | member_of
Dmitri Nabokov (ice hockey) | HC Sibir Novosibirsk | member_of_sports_team
King John's Castle (Limerick) | Limerick | located_in_the_administrative_territorial_entity
Takizawa, Iwate | Cities of Japan | instance_of
A Matter of Life and Death (film) | United Kingdom | country_of_origin
Dil Dhadakne Do | Ritesh Sidhwani | producer
Homs District | Homs Governorate | located_in_the_administrative_territorial_entity
Jan Smuts | Lawyer | occupation
Class (film) | Film | instance_of
Backfire (1950 film) | Ivan Goff | screenwriter
Double (BoA song) | Avex Trax | record_label
Antastulu | Akkineni Nageswara Rao | cast_member
The Gateway of the Moon | Walter Pidgeon | cast_member
9 (2009 animated film) | Christopher Plummer | cast_member
Viola Kisses Everybody | Asia Argento | cast_member
Love Interruption | Jack White | performer
Jeene Do | Sonam (actress) | cast_member
Llanberis | United Kingdom | country
Priest of Love | Film | instance_of
Battling Butler | Joseph M. Schenck | producer
Love Love Love (Linda Chung album) | Cantopop | genre
Boiler Room (film) | Giovanni Ribisi | cast_member
The Man in the Bear | A Boy in a Tree | follows
Java Agent Development Framework | Free software | instance_of
Sitamgar | Film | instance_of
Lor Girl | Persian language | original_language_of_film_or_TV_show
Lo chiameremo Andrea | Leonardo Benvenuti | screenwriter
Constantinople | Asia | continent
Aliens (film) | Film | instance_of
Akale | Film | instance_of
Une fille et des fusils | Claude Lelouch | producer
First Date (50 Cent song) | 50 Cent | performer
No pares | RBD | performer
In the Good Old Summertime | Buster Keaton | cast_member
Husbands and Wives | Woody Allen | screenwriter
Konstantin Konik | Politician | occupation
Alton Meiring | Cape Town | place_of_birth
Fantômas (1964 film) | Fantômas se déchaîne | followed_by
The Winter Knights | The Curse of the Gloamglozer | follows
Crash (Have Some Fun) | Tommy Boy Records | record_label
Final Encounter (album) | Leslie Cheung | performer
I'll Still Kill | Ayo Technology | follows
Laura (1944 film) | Film | instance_of
Red Light (film) | Dimitri Tiomkin | composer
Johann Gabriel Chasteler de Courcelles | Venice | place_of_death
The Actors | Michael Gambon | cast_member
Marie Antoinette | France | country_of_citizenship
Al Jourgensen | Guitar | instrument
Les Mystères de Paris (1962 film) | Jean Marais | cast_member
Jacques Lacan | France | country_of_citizenship
Partir, revenir | Jean-Louis Trintignant | cast_member
Arjun Pandit (1999 film) | Film | instance_of
Billy Hibbert | Sheffield Wednesday F.C. | member_of_sports_team
Harold Rosson | World War I | conflict
Certain People I Know | Glamorous Glue | followed_by
Ride, Vaquero! | Bronisław Kaper | composer
Madrid | Athens | twinned_administrative_body
Ieronim Yasinsky | Saint Petersburg | place_of_death
Jubilee (1978 film) | Derek Jarman | screenwriter
Ullam Ketkumae | Laila Mehdin | cast_member
Hotel Noir | Rosario Dawson | cast_member
Little Annie Rooney (1925 film) | William Beaudine | director
Francisco Besosa | Georgetown University Law Center | educated_at
Vracejte konve na místo. | Vagus Vetus | followed_by
California Dreamin' | Dunhill Records | record_label
Let It Bleed (song) | The Rolling Stones | performer
Charterhouse School | Boarding school | instance_of
Change Ur World | KAT-TUN | performer
Robert Mitchum | Lung cancer | cause_of_death
London | Kingdom of Great Britain | capital_of
Michael Nylander | Springfield Indians | member_of_sports_team
Exclusive (album) | Graffiti (Chris Brown album) | followed_by
Republic of the Congo | Republic of the Congo | country
Varzaqan County | Counties of Iran | instance_of
How High Is Up%3F | Vernon Dent | cast_member
Island of the Sequined Love Nun | The Lust Lizard of Melancholy Cove | followed_by
Night Owls (film) | Richard C. Currier | film_editor
The Vor Game | Baen Books | publisher
First Love (1959 film) | Italian language | original_language_of_film_or_TV_show
Where Are You Going on Holiday%3F | Ruggero Maccari | screenwriter
Battle Hymn (film) | Russell Metty | director_of_photography
The Return of the Musketeers | France | country_of_origin
Saajan | Sanjay Dutt | cast_member
Frank Skinner | University of Warwick | educated_at
The Show of Shows | Monte Blue | cast_member
Tora-san's Lovesick | Tora-san Loves an Artist | follows
Walter L. Buenger | Texas A&M University | employer
Ihre Hoheit die Tänzerin (film) | Bela Lugosi | cast_member
A Guide to Recognizing Your Saints | Spanish language | original_language_of_film_or_TV_show
A Lizard in a Woman's Skin | Edmondo Amati | producer
Talk About a Stranger | John Alton | director_of_photography
The Wild Bunch | Jerry Fielding | composer
Lawn Dogs | United Kingdom | country_of_origin
Dr. Dre | Sampler (musical instrument) | instrument
Columbus Circle (film) | Giovanni Ribisi | cast_member
Maxie (film) | Georges Delerue | composer
Return to Home Gori | Vittorio Cecchi Gori | producer
Frank Lloyd | Film director | occupation
Fred Rhodes | Poole Town F.C. | member_of_sports_team
Bang the Drum Slowly (film) | Film | instance_of
Mani Ratnam | Padma Shri | award_received
Romance of the Three Kingdoms VI: Awakening of the Dragon | Koei | publisher
Se non avessi più te | Italian language | original_language_of_film_or_TV_show
Fool's Mate (1956 film) | Claude Chabrol | producer
The Last Command (1955 film) | Ernest Borgnine | cast_member
Felix Klein | Göttingen | place_of_death
Threesome (film) | Brad Krevoy | producer
Oh! Sabella | Dino Risi | director
Panic in Year Zero! | Samuel Z. Arkoff | executive_producer
Whataya Want from Me | If I Had You (Adam Lambert song) | followed_by
Danger – Love at Work | Otto Preminger | director
Merry Madagascar | DreamWorks Animation | production_company
Deep Rising | Wes Studi | cast_member
Bobby Jones: Stroke of Genius | Malcolm McDowell | cast_member
Giorgino | Laurent Boutonnat | composer
Bahama Crisis | Thriller (genre) | genre
The Brady Bunch Movie | Michael McKean | cast_member
The Naked Gun 2½: The Smell of Fear | Leslie Nielsen | cast_member
John Pedder | London | place_of_birth
Koča Popović | Serbian language | languages_spoken,_written_or_signed
Stay with Me (Sam Smith song) | Sam Smith (singer) | performer
The Endless River | David Gilmour | composer
Igor Knyazev | Russia | country_of_citizenship
Tom and Jerry: Blast Off to Mars | Jeff Bennett | cast_member
Sethupathi IPS | P. Vasu | director
Otto Bertram | Spanish Civil War | conflict
The Fine Art of Love | Jacqueline Bisset | cast_member
Toni Braxton | Atlanta | place_of_birth
The Last Kiss (2006 film) | Eric Christian Olsen | cast_member
The King of Fighters '99 | SNK Playmore | publisher
The Day the Earth Stood Still | Leo Tover | director_of_photography
Chicago (2002 film) | Film | instance_of
Kenny Thomas (basketball) | Houston Rockets | drafted_by
I giorni più belli | Italian language | original_language_of_film_or_TV_show
Neil Simon's I Ought to Be in Pictures | Ann-Margret | cast_member
The Hitler Gang | David Buttolph | composer
Led Zeppelin | London | location_of_formation
Intervista | Marcello Mastroianni | cast_member
Neil Young | Warner Music Group | record_label
Leigh Richmond Roose | Wales | country_of_citizenship
Brother Bear (soundtrack) | Mark Mancina | composer
Infestation (film) | David Finfer | film_editor
Caprice Italian Style | Pier Paolo Pasolini | director
Big Jim McLain | Harry Morgan | cast_member
One of Us (Yes, Prime Minister) | The Bishop's Gambit | follows
Cross of Iron | James Mason | cast_member
Madrid | Warsaw | twinned_administrative_body
Vernon God Little | Faber and Faber | publisher
Kill the Messenger (2014 film) | Oliver Platt | cast_member
Office Space | Mike Judge | screenwriter
Jérôme de Bontin | Amherst College | educated_at
Captain Underpants and the Perilous Plot of Professor Poopypants | Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space | follows
The Wolf Dog | Henry B. Walthall | cast_member
Human Cargo (film) | Film | instance_of
Viktor Alexandrov | Traktor Chelyabinsk | member_of_sports_team
Nikolai Lunin | Order of the Red Banner | award_received
World in Motion | New Order | performer
Mother (John Lennon song) | John Lennon | performer
Let's Get Tough! | Leo Gorcey | cast_member
Night and the City | London | filming_location
Teylingen | Leiden | shares_border_with
Captains Courageous (1937 film) | Franz Waxman | composer
Good Times (Willie Nelson album) | RCA Records | record_label
Born to Kill (1947 film) | Film | instance_of
White, Discussion | Radioactive Records | record_label
Dave Chappelle's Block Party | John Legend | cast_member
Biutiful | Spanish language | original_language_of_film_or_TV_show
Alex Riazantsev | Avangard Omsk | member_of_sports_team
Hans Matthöfer | Bonn | work_location
Mongolia | Republic of China (1912–49) | replaces
Letters from Iwo Jima | Clint Eastwood | producer
Kishoreganj Football Stadium | National Sports Council | owned_by
Devin Harris | Washington Wizards | drafted_by
Louis Malle | France | country_of_citizenship
Casino Royale (1967 film) | Jack Hildyard | director_of_photography
Booty Wurk (One Cheek at a Time) | 5 O'Clock (T-Pain song) | followed_by
100 Days (1991 film) | Film | instance_of
American Horseshoes | Taito Corporation | developer
Doraemon: The Records of Nobita, Spaceblazer | Nobuyo Ōyama | cast_member
Jack Warner (actor) | London | place_of_death
The Tempest (1979 film) | United Kingdom | country_of_origin
Cliff Washburn | Toronto Argonauts | member_of_sports_team
The Ringer (2005 film) | Fox Searchlight Pictures | distributed_by
Invasion Quartet | Ron Goodwin | composer
The Kid (1921 film) | Charlie Chaplin | screenwriter
The Carson City Kid | Roy Rogers | cast_member
Peruvannapurathe Visheshangal | Kamal (director) | director
LF (album) | Cantopop | genre
Hoot (EP) | Oh! (Girls' Generation album) | follows
Sunday in August | Marcello Mastroianni | cast_member
The Boat That Rocked | Bill Nighy | cast_member
European Centre for Development Policy Management | Maastricht | headquarters_location
Life Is Beautiful | Film | instance_of
Utrecht | Kinshasa | twinned_administrative_body
The Girl from Missouri | Jean Harlow | cast_member
A Friend Will Come Tonight | Daniel Gélin | cast_member
Just Visiting (film) | France | country_of_origin
Karisma Kapoor | Randhir Kapoor | father
Tehran | Pretoria | twinned_administrative_body
Richard Aldridge | United Kingdom | country_of_citizenship
Ghulam-E-Mustafa | Paresh Rawal | cast_member
Black Rain (1989 American film) | Thriller (genre) | genre
Sangokushi V | PlayStation (console) | platform
Loser Takes All (film) | British Lion Films | distributed_by
Osona | Vic | capital
Andy Colby's Incredible Adventure | Film | instance_of
Race (2016 film) | Focus Features | distributed_by
Sruthi (film) | Nedumudi Venu | screenwriter
Margaret I, Countess of Burgundy | France | country_of_citizenship
Ian Paisley, Jr. | Queen's University Belfast | educated_at
I 2 deputati | Italian language | original_language_of_film_or_TV_show
Lalo Schifrin | Pianist | occupation
James Cameron | Film director | occupation
Yuri Babenko | Centre (ice hockey) | position_played_on_team_/_speciality
Judgment at Nuremberg | Montgomery Clift | cast_member
Pink String and Sealing Wax | Michael Balcon | producer
Georges Delerue | Roubaix | place_of_birth
Vinyl Confessions | Kansas (band) | performer
How We Robbed the Bank of Italy | Italian language | original_language_of_film_or_TV_show
Konstantin Koltsov | Severstal Cherepovets | member_of_sports_team
The Dam Busters (film) | Associated British Picture Corporation | production_company
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde | London | narrative_location
Executive Decision | Oliver Platt | cast_member
Gelderland | Limburg (Netherlands) | shares_border_with
Casa de los Babys | Lili Taylor | cast_member
Yasawa | Fiji | country
Ross Robinson | Music executive | occupation
State and Main | Oliver Stapleton | director_of_photography
Galate Samsara | C. V. Rajendran | director
Resurrecting the Champ | Rod Lurie | producer
Fanny Foley Herself | Ray Rennahan | director_of_photography
White Squall (film) | Jeff Bridges | cast_member
China Beach | American Broadcasting Company | original_broadcaster
Straw Dogs (1971 film) | Film | instance_of
Last Dance (1996 film) | Film | instance_of
Get Down (You're the One for Me) | Backstreet Boys | performer
Lady Gaga | Columnist | occupation
Juanes | Guitar | instrument
Extreme-G 2 | Acclaim Entertainment | publisher
The Trouble Buster | Film | instance_of
The Man from Laramie | Charles Lang | director_of_photography
Tulsa (film) | Jimmy Conlin | cast_member
Joshiy | Film director | occupation
Aap Mujhe Achche Lagne Lage | Rajesh Roshan | composer
Circus World (film) | Jack Hildyard | director_of_photography
Sex Quartet | Armando Trovajoli | composer
Prelude for War | United Kingdom | country_of_origin
Chris Camden | United Kingdom | country_of_citizenship
Count the Days | Paisley Park Records | record_label
University of Surrey | United Kingdom | country
California Suite (film) | Film | instance_of
Heaven Can Wait (1978 film) | William A. Fraker | director_of_photography
Reds (film) | Vittorio Storaro | director_of_photography
Even Stevens | Disney Channel | original_broadcaster
Twisted Obsession | Spanish language | original_language_of_film_or_TV_show
Johann Wolfgang von Goethe | Frankfurt | place_of_birth
Her Favourite Husband | Mario Monicelli | screenwriter
Boot Hill (film) | Woody Strode | cast_member
Konstantin Glazachev | Metallurg Magnitogorsk | member_of_sports_team
Turning Tables | Adele | performer
A Guide to Recognizing Your Saints | Film | instance_of
Hercules the Invincible | Film | instance_of
The Joy of Living | Henri Decaë | director_of_photography
Ride, Vaquero! | Ava Gardner | cast_member
Cassandra's Dream | Thriller (genre) | genre
The Lost World (1925 film) | Arthur Edeson | director_of_photography
Caleb Althin | Sweden | country_of_citizenship
Living for the Night | Universal Music Group Nashville | record_label
The BFG (2016 film) | Film | instance_of
Georg Ulrich Handke | Politician | occupation
Pyar Ke Naam Qurbaan | Film | instance_of
Over the Top (film) | Menahem Golan | director
RV (film) | Robin Williams | cast_member
Caravaggio (1986 film) | Derek Jarman | screenwriter
Stagecoach (1939 film) | John Wayne | cast_member
Regret (New Order song) | New Order | performer
City Slickers II: The Legend of Curly's Gold | William M. Anderson | film_editor
Takeshis' | Japan | country_of_origin
Kidnapped (1971 film) | United Kingdom | country_of_origin
North Holland | Haarlem | capital
Conan and the Sorcerer | Ace Books | publisher
No Small Affair | Tate Donovan | cast_member
Nail (album) | Hole (Foetus album) | follows
Priest of Love | Ava Gardner | cast_member
Claire McDowell | Hollywood | place_of_death
Ernst Bickel | Bonn | place_of_death
Bridget Jones: The Edge of Reason (film) | London | filming_location
Crush (Buffy the Vampire Slayer) | Dan Attias | director
The Pianist (2002 film) | Film | instance_of
The League of Gentlemen's Apocalypse | David Warner (actor) | cast_member
D3: The Mighty Ducks | Joshua Jackson | cast_member
Two Lanes of Freedom | Big Machine Records | record_label
Shooter (2007 film) | Philadelphia | filming_location
Casanova (2005 film) | Michael Cristofer | screenwriter
The Swindle (1997 film) | Claude Chabrol | director
March ör Die | Heavy metal music | genre
The Uninvited (1944 film) | Charles Lang | director_of_photography
Lord of War | Antônio Pinto (composer) | composer
Another Earth | Film | instance_of
Sri Krishna Pandaveeyam | Rajanala Kaleswara Rao | cast_member
Red Scarf (film) | Choi Moo-ryong | cast_member
John T. Davies | Minnesota Democratic–Farmer–Labor Party | member_of_political_party
Hurlyburly (film) | Anna Paquin | cast_member
