21274
Gilles Mbang Ondo | Libreville | wasBornIn
Fraser T Smith | Shine Ya Light | created
Fred C. Brannon | Daughter of Don Q | directed
William Holden | Streets of Laredo (film) | actedIn
Dimitri Tiomkin | 55 Days at Peking | wroteMusicFor
Azizabad, Qasr-e Qand | Sarbuk District | isLocatedIn
Carl Boese | My Cousin from Warsaw | directed
Kix Brooks | Red Dirt Road (song) | created
Rivers Cuomo | Anyway (CeeLo Green song) | created
Almedin Hota | FC Admira Wacker Mödling | isAffiliatedTo
Walter Brennan | The Gnome-Mobile | actedIn
Hannah Keryakoplis | Wales | isCitizenOf
Miguel Pedro López | Club Social y Deportivo Tristán Suárez | isAffiliatedTo
Mark Robson | Happy Birthday, Wanda June | directed
Manuel De Sica | The Garden of the Finzi-Continis (film) | wroteMusicFor
Lee Kendall | Wales | isCitizenOf
Caroline Thompson | Buddy (1997 film) | directed
Zizakesh | Siahkal County | isLocatedIn
Jo Potter | Charlton Athletic L.F.C. | isAffiliatedTo
Oana Manea | CS Oltchim Râmnicu Vâlcea | playsFor
Ibrahim Bejte | Albania national under-20 football team | isAffiliatedTo
Mack 10 | Inglewood, California | wasBornIn
Sarah Jessica Parker | Escape from Planet Earth | actedIn
Henry Hathaway | The Dark Corner | directed
Mobb Deep | Temperature's Rising (song) | created
Denzel Washington | The George McKenna Story | actedIn
Tupac Shakur | So Many Tears | created
Norma Talmadge | Smilin' Through (1922 film) | actedIn
Julio Valentín González | Club Presidente Hayes | isAffiliatedTo
Dragan Đukić | FC Thun | isAffiliatedTo
Anoh Attoukora | Adjamé | wasBornIn
Kirsty Yallop | Brisbane Roar FC (W-League) | isAffiliatedTo
Mark Helfrich (film editor) | I Come in Peace | edited
Choi Seung-hyun | The Classic | wroteMusicFor
Sebastián Balsas | Racing Club de Montevideo | playsFor
Emir Halilović | Banovići | wasBornIn
James Woods | Fast-Walking | actedIn
Cristian Omar Díaz | Argentina | isCitizenOf
Ben Travers | Just My Luck (1933 film) | created
Dean Pooley | Ebbsfleet United F.C. | isAffiliatedTo
Steve Strange | Beat Boy (song) | created
Korf Poshteh-ye Ilyati | Tutaki Rural District | isLocatedIn
Michael Lerner (actor) | A Pyromaniac's Love Story | actedIn
Bernhard Eichhorn | The Dream of Lieschen Mueller | wroteMusicFor
Ezequiel Óscar Scarione | FC Thun | playsFor
Rana Ranbir | Goreyan Nu Daffa Karo | actedIn
Ronald Davidson | Drums of Fu Manchu | created
Winston Griffiths (soccer) | Vancouver Whitecaps (1986–2010) | isAffiliatedTo
Gene Lockhart | Miracle on 34th Street | actedIn
Rudy Vallée | Gold Diggers in Paris | actedIn
Sean Paul | Shake Señora | created
Van Heflin | Till the Clouds Roll By | actedIn
Jack Palance | Barabbas (1961 film) | actedIn
Louis R. Loeffler | We're Not Married! | edited
Dorothy Farnum | The Unholy Night | created
Anjali Devi | Neelamalai Thirudan | actedIn
Woody Harrelson | She Hate Me | actedIn
The Smiths | Please, Please, Please, Let Me Get What I Want | created
RCA | Cumulus Media Networks | owns
Shepperd Strudwick | Dr. Renault's Secret | actedIn
Scott Kerlin | Dallas Americans | isAffiliatedTo
Daniel Vădrariu | CSM Metalul Reșița | playsFor
Joe Pantoliano | Unknown (2006 film) | actedIn
Patrice Neveu | ES La Rochelle | isAffiliatedTo
Chur, Kurdistan | Marivan County | isLocatedIn
Jean Bourgain | Ostend | wasBornIn
Peter Yeldham | Age of Consent (film) | created
Jacoby Shaddix | Last Resort (song) | created
Scott Weiland | Vasoline | created
Al Jazirah (state) | Sudan | isLocatedIn
Jessica Tandy | Best Friends (1982 film) | actedIn
Helena Dyrssen | Stockholm University | graduatedFrom
Philip Cahn | The Countess of Monte Cristo (1934 film) | edited
Ravi Kishan | Bullett Raja | actedIn
Bink (record producer) | Living Better Now | created
Emraan Hashmi | Crook (film) | actedIn
Martin Šaban | NK Bjelovar | playsFor
Michael Utting | South Melbourne FC | playsFor
Tyra Banks | Life-Size | actedIn
Alex Kapranos | Michael (Franz Ferdinand song) | created
Aruna Irani | Aan Milo Sajna | actedIn
Christine McIntyre | Hot Stuff (1956 film) | actedIn
Jackie Condon | Lodge Night | actedIn
Yakima Canutt | Sons of Adventure | directed
Parambrata Chatterjee | Hawa Bodol | directed
Alfred Newman (composer) | The Seven Year Itch | wroteMusicFor
Steve Angello | Troublemaker (Taio Cruz song) | created
Sidney Olcott | The Lady Peggy's Escape | directed
Emanuel De Porras | Club Social y Deportivo Flandria | isAffiliatedTo
Harry McCoy | Mabel's Strange Predicament | actedIn
Nobuo Uematsu | Final Fantasy X | created
Niccolò Lazzari | Don Camillo's Last Round | edited
T-Pain | Out Here Grindin | created
Stuart Nicholson | St Albans Saints SC | isAffiliatedTo
Shankar (actor) | Ente Mohangal Poovaninju | actedIn
Dorothy Jordan (American actress) | Shipmates (film) | actedIn
Pembroke J. Herring | Bound for Glory (film) | edited
Manuel Alexandre Nana Bikoula | Cameroon national under-23 football team | isAffiliatedTo
Danny Hatcher | Newport, Isle of Wight | wasBornIn
Philip Yordan | Broken Lance | created
Jane's Addiction | Just Because (Jane's Addiction song) | created
Dani Sánchez (footballer) | Ayutthaya F.C. | playsFor
James Cagney | Footlight Parade | actedIn
K. K. Downing | Electric Eye (song) | created
Gonzalo de Porras | FC Borjomi | playsFor
Stewart Copeland | Gridlock'd | wroteMusicFor
Herbert Lom | Whispering Smith Hits London | actedIn
Cédric De La Loma | Evian Thonon Gaillard F.C. | isAffiliatedTo
Luciano Mutasi | Deportivo Mongomo | playsFor
Rhonda Fleming | Cry Danger | actedIn
Chris O'Donnell | Circle of Friends (1995 film) | actedIn
Jason Segel | The Muppets (film) | created
Moran Lavi | Israel women's national football team | isAffiliatedTo
Skip Homeier | Johnny Shiloh (film) | actedIn
Sam De Grasse | The Hope Chest | actedIn
Admir Salihović | NK Iskra Bugojno | playsFor
Tiziano Polenghi | U.S. Cremonese | playsFor
Claire Simpson | Town & Country (film) | edited
Huenes Marcelo Lemos | Operário Ferroviário Esporte Clube | playsFor
Mick Jones (The Clash guitarist) | Wales | isCitizenOf
Chris Cross | Hymn (Ultravox song) | created
Ákos Kovrig | Maccabi Netanya F.C. | isAffiliatedTo
Rolamellah Nouar | Stade Lavallois | isAffiliatedTo
David Gascón | Sangonera Atlético CF | isAffiliatedTo
Clarence Kolster | Bad Men of Missouri | edited
Arthur Hohl | Pittsburgh | wasBornIn
J. Farrell MacDonald | Courage of the West | actedIn
Maureen O'Hara | The Magnificent Matador | actedIn
Manjula (Kannada actress) | Pattanakke Banda Pathniyaru | actedIn
Whoopi Goldberg | The Pagemaster | actedIn
Edward B. Jarvis | The Love Habit | edited
Oleg Mekhov | FC Tobol Kurgan | playsFor
Tom Denton (footballer) | Alfreton Town F.C. | playsFor
Shakira | Whenever, Wherever | created
Ranvir Shorey | Pyaar Ke Side Effects | actedIn
Leon Uris | Battle Cry (film) | created
Isaac Slade | Heartbeat (The Fray song) | created
Julian Charles | Cheshunt F.C. | playsFor
Maggie Cheung | What a Hero! | actedIn
Stuart Nicholson | Preston Lions FC | playsFor
Darko Mavrak | FK Proleter Zrenjanin | playsFor
Kevin Stitt | Robinson Crusoe (1997 film) | edited
Charles Craft | Santa Fe Scouts | edited
Mazhin | Nabovat Rural District | isLocatedIn
Jim Lea (musician) | 7 Year Bitch (song) | created
Sriman (actor) | Panchathantiram | actedIn
Henryk Kasperczak | Zabrze | wasBornIn
Jonathan Ringayen | Réunion | isCitizenOf
Juan Antonio | Trelew | wasBornIn
Alain Chabat | Oran | wasBornIn
Woody Harrelson | The Walker | actedIn
Mukhtor Kurbonov | Sogdiana Jizzakh | playsFor
Ricardo Phillips | Panama national football team | isAffiliatedTo
Dapéoua | Bas-Sassandra District | isLocatedIn
Lena Petermann | Hamburger SV (women) | isAffiliatedTo
Abubaker Tabula | SC Villa | isAffiliatedTo
Mýa | Free (Mýa song) | created
Lorenzo Del Prete | Frosinone Calcio | playsFor
Sean Lau | Victim (1999 film) | actedIn
Ethan Embry | Timeline (film) | actedIn
Johnny Mandel | The Russians Are Coming, the Russians Are Coming | created
William H. Ziegler | Battle Cry (film) | edited
Hansika Motwani | Kantri | actedIn
Pascal Ochieng | Simba S.C. | playsFor
Nodar Mammadov | MOIK Baku | isAffiliatedTo
Stanley Black | That Woman Opposite | wroteMusicFor
E. G. Marshall | Vampire (1979 film) | actedIn
Chester Conklin | Mabel's Strange Predicament | actedIn
Pulp (band) | A Little Soul | created
Fabio Testi | Delitto passionale | actedIn
Harold F. Kress | Command Decision (film) | edited
Marc Shaiman | Hairspray (2007 film) | wroteMusicFor
Paul Freeman (actor) | A World Apart (film) | actedIn
Tom Conti | Slade in Flame | actedIn
Ken Russell | Mahler (film) | directed
Gerhard Lamprecht | Just Once a Great Lady (1934 film) | directed
Mohsen Makhmalbaf | Tales of Kish | directed
Lucio Ianiero | Toronto Rockets (soccer) | isAffiliatedTo
Dana Andrews | Belle Starr (film) | actedIn
Marko Jakolić | NK Ivančna Gorica | isAffiliatedTo
Jean Hersholt | Mark of the Vampire | actedIn
Thelma Todd | The Bohemian Girl (1936 film) | actedIn
Ludhiana | Ludhiana district | isLocatedIn
Anthony Anderson | Big Momma's House | actedIn
Joan Sims | Carry On Doctor | actedIn
Jon Bon Jovi | Livin' on a Prayer | created
Romana Carén | Where the Wild Roses Grow (film) | directed
Tari Mahalleh | Lalehabad District | isLocatedIn
Jericho (UK TV series) | State Cinema | isLocatedIn
Philips | Compact Cassette | owns
Ravi Teja | Amma Nanna O Tamila Ammayi | actedIn
Fillemon Kanalelo | Namibia national football team | isAffiliatedTo
Rami Yacoub | Stronger (Britney Spears song) | created
Wilford Leach | The Wedding Party (film) | edited
Colin Groves | Canberra | livesIn
Ed Solomon | Levity (film) | created
Charles Smith (actor) | Henry Aldrich Swings It | actedIn
James Burty David | Mauritius | isPoliticianOf
Ernesto Ochoa | C.D. Vista Hermosa | isAffiliatedTo
Anémone | Les Nanas | actedIn
Gary Cooper | The Fountainhead (film) | actedIn
Shaun Timmins (footballer) | Green Gully SC | isAffiliatedTo
Coldplay | Trouble (Coldplay song) | created
Willem Dafoe | Mississippi Burning | actedIn
Nando Cicero | Asmara | wasBornIn
Donny Olson | Gambell, Alaska | isLeaderOf
Harold French | Jump for Glory | created
George Dolenz | Song of Scheherazade | actedIn
Andy Bell (singer) | Chorus (Erasure song) | created
Selah Sue | Zanna | created
Big K.R.I.T. | Country Shit | created
Kenneth Williams | Carry On Doctor | actedIn
Bahman Ghobadi | Rhino Season | directed
Trisha (actress) | Power (2014 Kannada film) | actedIn
Caesar Rodney | Kent County, Delaware | diedIn
Igor Souza | G.D. Estoril Praia | playsFor
Alex James (musician) | Beetlebum | created
Sydney Box | Street Corner (1953 film) | created
Timothy Bottoms | Texasville | actedIn
Thomas Gebauer | TSV Aindling | isAffiliatedTo
Hank Nelson | Papua New Guinea | isCitizenOf
Alain Delon | The Burned Barns | actedIn
Ralph E. Winters | The Man Who Loved Women (1983 film) | edited
Victor Saville | Tesha | directed
Billie Thomas | Came the Brawn | actedIn
Jim Jarmusch | Night on Earth | created
Robert Nikolic | Borussia Dortmund | playsFor
Listner Pierre-Louis | Vannes OC | playsFor
Mickey Daniels | Lodge Night | actedIn
Paul Motian | Chansons d’Édith Piaf | created
Alfred Gough | Made Men (film) | created
Keith David | The Chronicles of Riddick | actedIn
Donald Pleasence | Casablanca Express | actedIn
Sam Kome | American Samoa national football team | playsFor
Zehrudin Kavazović | Banovići | wasBornIn
Maja Milutinović | ŽKK Mladi Krajišnik | isAffiliatedTo
Slade | Lock Up Your Daughters (song) | created
University of South Africa | South Africa | isLocatedIn
Seann William Scott | Movie 43 | actedIn
Hiroyasu Ibata | Nagoya Grampus | playsFor
Trevor Howard | The Poppy Is Also a Flower | actedIn
Umpai Mutaporn | Sriracha F.C. | playsFor
Marcus Ebdon | Everton F.C. | isAffiliatedTo
Chris Cornell | Hands All Over (Soundgarden song) | created
Joan Blondell | George Barnes (cinematographer) | isMarriedTo
Nappy Roots | Headz Up | created
Tim Roth | Captives | actedIn
Ashton Sims | St. George Illawarra Dragons | isAffiliatedTo
Ken Russell | Tommy (1975 film) | directed
Sienna Miller | Burnt (film) | actedIn
Ray Liotta | Blow (film) | actedIn
Minden, Louisiana | Webster Parish, Louisiana | isLocatedIn
Kirk Douglas | Ulysses (1954 film) | actedIn
Edorisi Master Ekhosuehi | Benin City | wasBornIn
Vanessa Redgrave | Morgan – A Suitable Case for Treatment | actedIn
K. A. Thangavelu | Neelamalai Thirudan | actedIn
Jackie Condon | The Champeen | actedIn
Florence Rice | Honolulu | diedIn
Lil' Kim | Longshot (film) | actedIn
Osmar Francisco | Clube Esportivo Lajeadense | isAffiliatedTo
Juan Carlos Moreno Rojo | Xerez CD B | isAffiliatedTo
Johnnie To | Don't Go Breaking My Heart (film) | directed
Eva Marie Saint | Titanic (1996 miniseries) | actedIn
Harry De Vere | Mein Lieber Katrina Catches a Convict | actedIn
Shah Rasul | Talesh County | isLocatedIn
Peter Stormare | Unknown (2006 film) | actedIn
Peter Lérant | MŠK - Thermál Veľký Meder | playsFor
W. S. Van Dyke | I Take This Woman (1940 film) | directed
Lyon Mountain Railroad Station | Lyon Mountain, New York | isLocatedIn
Yvonne De Carlo | Casbah (film) | actedIn
Mischa Barton | Walled In | actedIn
Andrei Utitskikh | FC MVD Rossii Moscow | playsFor
Roman Polanski | Venus in Fur (film) | directed
Herschel Burke Gilbert | The Highwayman (1951 film) | wroteMusicFor
Herwig Kircher | Stade Lavallois | isAffiliatedTo
Norman Krasna | The Countess of Monte Cristo (1934 film) | created
Christopher Nöthe | SpVgg Greuther Fürth | playsFor
Sid James | Carry On Abroad | actedIn
Mychael Danna | Management (film) | wroteMusicFor
Anne Dudley | The Grotesque (film) | wroteMusicFor
Orest Lenczyk | Stal Mielec | isAffiliatedTo
Frank P. Keller | The Five Pennies | edited
Tihomir Bulat | RNK Split | playsFor
Georg Gottlob Richter | University of Kiel | graduatedFrom
Walter Chiari | Femmine di lusso | actedIn
Andy Pando | Colegio Nacional Iquitos | playsFor
Stephen E. Rivkin | Bat 21 | edited
Carmen Electra | Get Over It (film) | actedIn
Diogo Galvão | Atlético Clube Goianiense | isAffiliatedTo
Harry Fowler | Sir Henry at Rawlinson End (film) | actedIn
Byelorussian Soviet Socialist Republic | Yiddish | hasOfficialLanguage
David Daniel Álvarez | Deportes Savio | isAffiliatedTo
Trevor Rabin | Shoot High Aim Low | created
James Shigeta | Honolulu | wasBornIn
Gabrielle Roy | Quebec City | diedIn
David Strathairn | A Dangerous Woman (1993 film) | actedIn
Foo Fighters | Best of You | created
Felipe De la Riva | Estudiantes de Buenos Aires | isAffiliatedTo
Ferdous Ahmed | Hothat Brishti | actedIn
Rajesh (Kannada actor) | Bidugade | actedIn
Allee Willis | That's What I Think | created
Jean Renoir | La Marseillaise (film) | directed
Valerijus Mižigurskis | FK Banga Gargždai | playsFor
Aleksandr Yevstafyev | FC Zenit-2 Saint Petersburg | isAffiliatedTo
Gucci Mane | Break Up (song) | created
Timothy Bottoms | The Census Taker | actedIn
Rabi Kinagi | Sindura Nuhein Khela Ghara | directed
Paul Lukas | Unfaithful (1931 film) | actedIn
Paulo Roberto Junges | São Paulo FC | playsFor
Mario Martos | Olympiakos Nicosia | playsFor
Ed Begley | Inherit the Wind (1965 film) | actedIn
Adrian Bică Bădan | U.S. Vibonese Calcio | isAffiliatedTo
Walter Scharf | Dakota (film) | wroteMusicFor
Ștefan Caraulan | FC Spicul Chișcăreni | isAffiliatedTo
Izhak Nash | Maccabi Kafr Kanna F.C. | playsFor
Charles Bronson | Tennessee Champ | actedIn
Edith Kiel | Janssens tegen Peeters | created
Gerhard Lamprecht | Marionettes of Desire | created
Lyle Lakay | SuperSport United F.C. | playsFor
Gerald Tusha | KF Tirana | playsFor
Gunnar Nordahl | IFK Norrköping | isAffiliatedTo
Rami Yacoub | Troublemaker (Taio Cruz song) | created
Nick Lyon | Pocatello, Idaho | wasBornIn
Thomas Elliott (footballer) | West Stanley F.C. | isAffiliatedTo
Grétar Steinsson | Bolton Wanderers F.C. | isAffiliatedTo
University of Louisville | Louisville, Kentucky | isLocatedIn
Judd Nelson | Private Number (2014 film) | actedIn
Lana Del Rey | Blue Jeans (Lana Del Rey song) | created
Mario Méndez (Panamanian footballer) | Panama national football team | isAffiliatedTo
Ronnie Dunn | That's What She Gets for Loving Me | created
David Chiang | 7 Man Army | actedIn
Sejad Salihović | TSG 1899 Hoffenheim II | playsFor
Francesco Maria Grimaldi | Bologna | diedIn
Madhubala | Dhake Ki Malmal | actedIn
Imre Deme | Soproni VSE | isAffiliatedTo
Christopher Young | The Exorcism of Emily Rose | wroteMusicFor
Gene Gauntier | The Lady Peggy's Escape | actedIn
Rosemary Harris | The Bridge (1992 film) | actedIn
George Barbier (actor) | The Broken Wing (film) | actedIn
Umakant Yadav | Azamgarh | livesIn
Michael McElhatton | Royal Academy of Dramatic Art | graduatedFrom
Teco (footballer) | Central Sport Club | isAffiliatedTo
Pat Onstad | Edmonton Drillers (1996–2000) | isAffiliatedTo
Volker Schlöndorff | Margarethe von Trotta | isMarriedTo
Claire Simpson | State of Grace (film) | edited
Melville Shyer | Mad Youth | directed
Antony Hopkins | Time Gentlemen, Please! | wroteMusicFor
Joe Swanberg | Uncle Kent | directed
Lyle Talbot | Mary Stevens, M.D. | actedIn
Charle | Ayya (2005 Tamil film) | actedIn
Peter Coyote | Murder in My Mind | actedIn
Slade | Till Deaf Do Us Part | created
Eric Kretz | Sex Type Thing | created
Ann Harding | The Animal Kingdom | actedIn
Andrew Restrepo | Jacksonville Cyclones | isAffiliatedTo
G. V. Dorsey | Piqua, Ohio | diedIn
Bryanna McCarthy | Ottawa Fury Women | isAffiliatedTo
Dolenje Otave | Inner Carniola | isLocatedIn
J. Walter Ruben | Secret Service (film) | directed
Richard Abegg | Stockholm University | graduatedFrom
Nate Mendel | Monkey Wrench (song) | created
Adrian Trinidad | PLUS F.C. | isAffiliatedTo
Linus Pauling | Irving Langmuir Award | hasWonPrize
Mohsen Makhmalbaf | Time of Love | directed
Julia Barretto | Marikina | wasBornIn
Egberto Gismonti | Magico (album) | created
Kristijan Tucaković | FK Grafičar Beograd | isAffiliatedTo
New Radiant S.C. | Malé | isLocatedIn
Pero Pejić | KF Tirana | isAffiliatedTo
Lena Petermann | Hamburger SV II | isAffiliatedTo
Jack Kitchin | Secret Service (film) | edited
Delroy Lindo | A Life Less Ordinary | actedIn
Qand | Sarbuk Rural District | isLocatedIn
Ralph Murphy | Red Stallion in the Rockies | directed
Orosco Anonam | Naxxar Lions F.C. | isAffiliatedTo
Craig O'Reilly | Dundee F.C. | playsFor
Daniel Olbrychski | The Barber of Siberia | actedIn
Kirk Douglas | I Walk Alone | actedIn
Jo Potter | Reading F.C. Women | playsFor
Hassan Ahamada | Brest, France | wasBornIn
Mark D. Sanders | The Heart Is a Lonely Hunter (song) | created
Cheap Trick | Ain't That a Shame | created
Don Williams | I Believe in You (Don Williams song) | created
Dana Andrews | While the City Sleeps (1956 film) | actedIn
Marisa Park | IL Sandviken | isAffiliatedTo
William Ludwig | Julia Misbehaves | created
Sam Rockwell | Trust Me (2013 film) | actedIn
Veit Harlan | The Trousers | actedIn
Evan Rachel Wood | The Ides of March (film) | actedIn
Roger Zelazny | George R. R. Martin | influences
S. P. Balasubrahmanyam | Nandhini (film) | actedIn
The Killers | Smile Like You Mean It | created
Trey Songz | The Way You Move (Ne-Yo song) | created
Chris Squire | The Calling (Yes song) | created
Norbert Hofmann (footballer, born 1972) | TSG 1899 Hoffenheim II | isAffiliatedTo
Jonathan Pérez Olivero | Universidad de Las Palmas CF | isAffiliatedTo
Henk Wullems | AZ Alkmaar | isAffiliatedTo
Miguel Palencia | Madrid | wasBornIn
Szabolcs Varga | Székesfehérvár | wasBornIn
Armando Dely Valdés | Panama national football team | playsFor
Xia Yu (actor) | Getting Home | actedIn
Erman Özgür | Adana Demirspor | isAffiliatedTo
Vijay Antony | Naan (film) | actedIn
Mos Def | Something the Lord Made | actedIn
Nawapol Tantraseni | Muangthong United F.C. | playsFor
Jason Flemyng | The Body (2001 film) | actedIn
David Vogel Uihlein, Sr. | Jane Bradley Pettit | isMarriedTo
Ulugnor District | Oqoltin | isLocatedIn
John Mills | The Wrong Box | actedIn
Izhak Nash | Hapoel Afula F.C. | isAffiliatedTo
Gustaf Gründgens | Marianne Hoppe | isMarriedTo
Thomas Bangalter | Derezzed | created
Aleksandre Geladze | FC Mretebi Tbilisi | isAffiliatedTo
Ivan Vandor | Omicidio per appuntamento | wroteMusicFor
Robert Lafrenière | Quebec City | diedIn
Technische Hochschule Mittelhessen—University of Applied Sciences | Wetzlar | isLocatedIn
Vugar Asgarov | FC Jūrmala | playsFor
Franco Nero | Forever Blues | actedIn
Richard Jenkins | Darling Companion | actedIn
Joan Blondell | Back in Circulation | actedIn
Kaarel Kiidron | Tartu JK Tammeka | isAffiliatedTo
David Finfer | Back to the Beach | edited
M. S. Swaminathan | Mina Swaminathan | isMarriedTo
Carlos César Neves | Boa Esporte Clube | isAffiliatedTo
Joseph Pevney | Shakedown (1950 film) | directed
Savitri (actress) | Káthirunda Kangal | actedIn
Bhadran (director) | Ente Mohangal Poovaninju | created
Anton Samoylov | FC Zenit-Izhevsk | isAffiliatedTo
Manuel De Sica | Le coppie | wroteMusicFor
Claude Pinoteau | Les Palmes de M. Schutz | directed
Borðeyri | Westfjords | isLocatedIn
Gabriel Dell | Blues Busters (film) | actedIn
Martin Guzik | 1. FC Bocholt | playsFor
David Williamson | On the Beach (2000 film) | created
Alberto Edjogo-Owono | Equatorial Guinea national football team | playsFor
Benn Levy | Waterloo Bridge (1931 film) | created
Gireesh Puthenchery | Highway (1995 film) | wroteMusicFor
David Montoya | Independiente Medellín | playsFor
Adam Frye | Jacksonville Cyclones | playsFor
Yuto Horigome | Fukushima United FC | isAffiliatedTo
Willi Wolff | Heads Up, Charley | directed
Master P | I'm Bout It | directed
Madge Evans | West of Broadway (1931 film) | actedIn
Roy Del Ruth | Du Barry Was a Lady (film) | directed
Rachel Portman | Hart's War | wroteMusicFor
Masanori Tokita | Kwansei Gakuin University | playsFor
Ranil Wickremesinghe | Sri Lanka | isPoliticianOf
Jonathan Goldsmith (musician) | A Fighting Man | wroteMusicFor
Edmund Gwenn | A Yank at Oxford | actedIn
Ernest Borgnine | Spike of Bensonhurst | actedIn
Gavmishan, Fars | Central District (Kharameh County) | isLocatedIn
Stephen Stills | Love the One You're With | created
Mariana Tîrcă | Anagennisi Arta F.C. | isAffiliatedTo
James Clavell | Tai-Pan (film) | created
Heinz Barmettler | Dominican Republic national football team | isAffiliatedTo
Bon Jovi | Never Say Goodbye (Bon Jovi song) | created
Linda Sloan | Summerlea, Edmonton | isLeaderOf
Harold F. Kress | Pittsburgh | wasBornIn
Robert N. Bradbury | Riders of Destiny | directed
Chris Cross | Sleepwalk (song) | created
Selva (director) | Naan Avanillai 2 | directed
Ed Asner | The Bachelor (1999 film) | actedIn
Rahman (actor) | Bachelor Party (2012 film) | actedIn
Barbara Hershey | A Dangerous Woman (1993 film) | actedIn
Mitch Glazer | Kelly Lynch | isMarriedTo
Nicola Piovani | Footprints on the Moon (1975 film) | wroteMusicFor
Robert Farnon | All for Mary | wroteMusicFor
Shatrughan Sinha | Hawalaat | actedIn
Bahman Ghobadi | No One Knows About Persian Cats | directed
Eagles (band) | The Last Resort (Eagles song) | created
Amma Asante | A Way of Life | created
John Hnatyshyn | University of Saskatchewan | graduatedFrom
Ricardo Costa (Portuguese footballer, born 1973) | Sport Benfica e Castelo Branco | isAffiliatedTo
Katharine Alexander | Three Sons | actedIn
Robert Mugabe | South Africa | isCitizenOf
Buddy Cannon | Set 'Em Up Joe | created
Ali Gültiken | Turkey national football team | isAffiliatedTo
Rajesh Sharma (actor) | Astra (film) | actedIn
Jim Guest | King City, Missouri | livesIn
Taro Goto | Nagoya Grampus | playsFor
Aftab Shivdasani | Dus Kahaniyaan | actedIn
Ante Juric | Sport Benfica e Castelo Branco | isAffiliatedTo
Paul Trimboli | South Melbourne FC | playsFor
Ilya Yagodkin | FC Volochanin-Ratmir Vyshny Volochyok | isAffiliatedTo
Lin Carter | Montclair, New Jersey | diedIn
Heather Angel (actress) | Undercover Doctor | actedIn
Marc Lawrence | Blood Red | actedIn
Joel McNeely | Pooh's Heffalump Movie | wroteMusicFor
Franklin J. Schaffner | The Boys from Brazil (film) | directed
Mohammed Ouseb | Chief Santos | isAffiliatedTo
Sheykh Maruf | Beygom Qaleh Rural District | isLocatedIn
Sam Wedgbury | Forest Green Rovers F.C. | isAffiliatedTo
Ericson Silva | SC Mirandela | playsFor
Valéry Sanou | Muangthong United F.C. | isAffiliatedTo
Vítor Hugo (footballer, born 1981) | Esporte Clube Guarani | playsFor
Emeric Pressburger | A Canterbury Tale | created
Marino Girolami | Grazie nonna | created
John Waters | Cecil B. Demented | directed
William Ross Macdonald | Osgoode Hall Law School | graduatedFrom
Keith David | Armageddon (1998 film) | actedIn
The Dead Weather | Die by the Drop | created
Wachira Sangsri | Phichit F.C. | playsFor
Mazhin | Eyvan County | isLocatedIn
Dick Wolf | No Man's Land (1987 film) | created
Jonathan Chimier | Mauritius | wasBornIn
Vladimir Dolgopolov | KSK Vigri Tallinn | isAffiliatedTo
Ondrej Debnár | MFK Lokomotíva Zvolen | isAffiliatedTo
Stephen James Taylor | The Glass Shield | wroteMusicFor
Alec Baldwin | The Cooler | actedIn
Choi Seung-hyun | Black House (film) | wroteMusicFor
Joseph Gordon-Levitt | 10 Things I Hate About You | actedIn
Jack Webb | Star Spangled Salesman | actedIn
Gerry Hambling | The Adding Machine (film) | edited
Julian Gallagher | Rock the Party | created
Robert G. Vignola | Under Cover (1916 film) | directed
Ralph Bellamy | Oh, God! | actedIn
Abel Miguel Suárez | La Roda CF | playsFor
Willy Fritsch | Ronny (1931 film) | actedIn
Kim Wilde | Rockin' Around the Christmas Tree | created
Damir Željko | FK Cement Beočin | playsFor
Ralph Murphy | Men Without Names | directed
Gollapudi Maruti Rao | Subha Sankalpam | created
Melvyn Douglas | Two-Faced Woman | actedIn
Dick Wolf | Suite Sorrow | created
Sansern Limwattana | Phichit F.C. | isAffiliatedTo
Lewis Stone | David Copperfield (1935 film) | actedIn
Alexander Laas | Arminia Bielefeld | playsFor
Edward F. Cline | F-Man | directed
Gary Peacock | Chansons d’Édith Piaf | created
Ronnie Dunn | Believe (Brooks & Dunn song) | created
Lou Tellegen | The Long Trail (film) | actedIn
Danny Denholm | Edinburgh City F.C. | playsFor
R. Parthiepan | Unnaruge Naan Irundhal | actedIn
Todd Saldana | Los Angeles Heat | playsFor
Renato Pilipović | NK Istra 1961 | isAffiliatedTo
Katharine Alexander | Moonlight Murder | actedIn
Roger Corman | It Conquered the World | directed
S. V. Krishna Reddy | Divorce Invitation | directed
Kerry Fox | Holding the Man (film) | actedIn
Terence Fisher | Mantrap (1953 film) | directed
Vladimir Karalić | NK Travnik | isAffiliatedTo
Silvana Mangano | Barabbas (1961 film) | actedIn
Harish Kumar | Jawab (1995 film) | actedIn
Vijayashanti | Nizhal Thedum Nenjangal | actedIn
Maja Salvador | Cinco (film) | actedIn
Junior Salomon | Benin national football team | isAffiliatedTo
John Stone (producer) | Arizona Bound (1927 film) | created
Jimmy Bennett | Trucker (film) | actedIn
Milena Vukotić | Elena of Montenegro | hasChild
Jacques Morali | Macho Man (song) | created
Keenan Wynn | The Shaggy D.A. | actedIn
William M. Anderson | Assassination of a High School President | edited
Masahiro Miyashita | Omiya Ardija | isAffiliatedTo
Andriy Kiva | Sevastopol | wasBornIn
Renzo Rossellini (composer) | Escape by Night (1960 film) | wroteMusicFor
